Category*,End Date*,Purpose*,Start Date*,Start*,Stop*,Miles*
Business,04-03-2016 16:08:00,Meal/Entertain,04-03-2016 15:56:00,Raleigh,Raleigh,4.9
Business,04-03-2016 16:22:00,Errand/Supplies,04-03-2016 16:16:00,Fayetteville Street,Depot Historic District,0.8
Business,04-03-2016 17:12:00,Meeting,04-03-2016 16:43:00,Raleigh,Cary,13.5
Business,04-03-2016 19:08:00,Temporary Site,04-03-2016 19:02:00,Cary,Morrisville,1.9
Business,04-03-2016 19:25:00,Meal/Entertain,04-03-2016 19:16:00,Morrisville,Cary,2
Business,05-03-2016 11:59:00,Meal/Entertain,05-03-2016 11:44:00,Cary,Morrisville,6.5
Personal,05-03-2016 13:12:00,,05-03-2016 12:57:00,Weston,Weston,4.2
Personal,05-03-2016 14:18:00,,05-03-2016 14:08:00,Morrisville,Cary,3.5
Business,05-03-2016 15:01:00,Meal/Entertain,05-03-2016 14:39:00,Whitebridge,Wayne Ridge,7.8
Business,05-03-2016 17:13:00,Meal/Entertain,05-03-2016 16:52:00,Cary,Morrisville,7.8
Business,05-03-2016 17:34:00,Meal/Entertain,05-03-2016 17:23:00,Morrisville,Cary,3.9
Business,07-03-2016 09:20:00,Errand/Supplies,07-03-2016 09:10:00,Whitebridge,Edgehill Farms,2.8
Business,07-03-2016 09:47:00,Customer Visit,07-03-2016 09:23:00,Cary,Raleigh,12.4
Business,07-03-2016 12:26:00,Customer Visit,07-03-2016 12:10:00,Fayetteville Street,Meredith Townes,5.9
Business,07-03-2016 14:18:00,Meeting,07-03-2016 13:57:00,Meredith Townes,Leesville Hollow,9.4
Business,07-03-2016 15:45:00,Between Offices,07-03-2016 15:19:00,Raleigh,Cary,11.9
Business,08-03-2016 14:55:00,Between Offices,08-03-2016 14:38:00,Whitebridge,Waverly Place,7.2
Business,08-03-2016 16:00:00,Meal/Entertain,08-03-2016 15:35:00,Waverly Place,Whitebridge,7.6
Personal,08-03-2016 16:25:00,,08-03-2016 16:13:00,Whitebridge,Whitebridge,1.6
Business,10-03-2016 03:53:00,Meeting,10-03-2016 03:36:00,Cary,Morrisville,8.4
Business,10-03-2016 10:37:00,Meeting,10-03-2016 10:08:00,East Austin,West University,12.8
Business,10-03-2016 14:55:00,,10-03-2016 14:39:00,West University,South Congress,2.3
Business,10-03-2016 16:28:00,,10-03-2016 16:18:00,South Congress,Arts District,1.6
Business,11-03-2016 09:59:00,Meal/Entertain,11-03-2016 09:47:00,The Drag,Congress Ave District,2
Business,11-03-2016 10:36:00,,11-03-2016 10:29:00,Congress Ave District,Downtown,0.8
Business,11-03-2016 12:04:00,,11-03-2016 11:57:00,Downtown,Red River District,1.2
Business,11-03-2016 13:51:00,,11-03-2016 13:43:00,Red River District,Downtown,1
Business,11-03-2016 19:35:00,,11-03-2016 19:21:00,South Congress,The Drag,2.1
Business,12-03-2016 09:22:00,,12-03-2016 09:13:00,The Drag,South Congress,2.2
Personal,12-03-2016 18:37:00,,12-03-2016 18:27:00,South Congress,The Drag,1.9
Business,13-03-2016 09:37:00,Meal/Entertain,13-03-2016 09:07:00,The Drag,Convention Center District,5.7
Business,13-03-2016 18:43:00,Meal/Entertain,13-03-2016 18:23:00,South Congress,North Austin,8.4
Business,13-03-2016 20:28:00,Meal/Entertain,13-03-2016 20:07:00,Georgian Acres,The Drag,6.2
Business,13-03-2016 20:58:00,Meal/Entertain,13-03-2016 20:39:00,The Drag,North Austin,10.5
Business,13-03-2016 21:23:00,Meal/Entertain,13-03-2016 21:11:00,North Austin,Coxville,7.2
Business,13-03-2016 22:39:00,,13-03-2016 22:19:00,Coxville,The Drag,12.5
Business,14-03-2016 08:49:00,Errand/Supplies,14-03-2016 08:34:00,The Drag,South Congress,2
Business,14-03-2016 18:55:00,,14-03-2016 18:39:00,South Congress,The Drag,2.7
Business,15-03-2016 08:57:00,Meal/Entertain,15-03-2016 08:45:00,The Drag,Convention Center District,2
Business,15-03-2016 21:01:00,Meal/Entertain,15-03-2016 20:48:00,Downtown,The Drag,2.8
Business,16-03-2016 11:45:00,Meal/Entertain,16-03-2016 11:34:00,The Drag,Congress Ave District,1.7
Business,16-03-2016 14:55:00,,16-03-2016 14:44:00,Convention Center District,West University,2
Business,16-03-2016 18:56:00,Meal/Entertain,16-03-2016 18:43:00,West University,Congress Ave District,2.1
Personal,17-03-2016 00:44:00,,17-03-2016 00:33:00,Downtown,The Drag,1.7
Business,17-03-2016 15:11:00,Customer Visit,17-03-2016 12:52:00,Austin,Katy,136
Business,17-03-2016 15:58:00,Meeting,17-03-2016 15:16:00,Katy,Houston,30.2
Business,17-03-2016 18:02:00,Meal/Entertain,17-03-2016 17:20:00,Midtown,Alief,15.5
Personal,17-03-2016 19:09:00,,17-03-2016 18:47:00,Houston,Houston,4.9
Personal,17-03-2016 21:28:00,,17-03-2016 20:57:00,Houston,Houston,12.6
Personal,17-03-2016 22:04:00,,17-03-2016 21:48:00,Sharpstown,Midtown,10.4
Business,18-03-2016 07:21:00,Meal/Entertain,18-03-2016 07:15:00,Midtown,Midtown,1.1
Business,18-03-2016 08:43:00,Meal/Entertain,18-03-2016 08:35:00,Midtown,Midtown,1.1
Business,18-03-2016 19:08:00,Meeting,18-03-2016 18:24:00,Midtown,Sharpstown,13.2
Business,18-03-2016 19:29:00,Errand/Supplies,18-03-2016 19:23:00,Sharpstown,Sharpstown,1
Business,18-03-2016 21:15:00,Customer Visit,18-03-2016 21:01:00,Sharpstown,Midtown,9.2
Business,19-03-2016 09:25:00,Meal/Entertain,19-03-2016 09:10:00,Midtown,Sharpstown,9.4
Business,19-03-2016 13:13:00,Customer Visit,19-03-2016 12:50:00,Houston,Sugar Land,12
Business,19-03-2016 14:57:00,Customer Visit,19-03-2016 14:01:00,Sugar Land,Houston,35.1
